T0,avg_precision,avg_recall,avg_f1,avg_balanced_accuracy
6,0.9128706579238854,0.8838935651660302,0.8935250682286584,0.6372686701565832
9,0.9544334112058802,0.935666760327555,0.9444274118105997,0.7662529730014238
11,0.9336923843775432,0.9532423813726577,0.9426369817028394,0.6962772521680339
16,0.9518609392992284,0.9434734967155348,0.9468789383650051,0.7524390519797859
37,0.9686315076838748,0.9475901743618828,0.9574644703782608,0.7001035610826309
41,0.964277571687787,0.9769187597541324,0.9701279692190934,0.5511490473980623
