T0,avg_precision,avg_recall,avg_f1,avg_balanced_accuracy
14,0.9548008441644407,0.8428779141061311,0.8906458553834665,0.7665421272122156
16,0.9518609392992284,0.9434734967155348,0.9468789383650051,0.7524390519797859
18,0.9549097492631062,0.9132821191459357,0.9326798611318767,0.7574251764500132
25,0.9669170879580754,0.9438808976487839,0.9548440741584608,0.7708198061607744
37,0.9686315076838748,0.9475901743618828,0.9574644703782608,0.7001035610826309
40,0.9668932574805003,0.9779025624639773,0.9720330242920018,0.6261705220978896
