T0,precision,recall,f1,bacc
1,0.9838854073410922,1.0,0.9918772563176895,0.5
2,0.9913995308835027,1.0,0.9956811935610522,0.5
3,0.980528511821975,1.0,0.9901685393258427,0.5333333333333333
4,0.99617903930131,0.9738527214514408,0.9848893685914732,0.5494263607257204
5,0.9896907216494846,1.0,0.9948186528497409,0.5
6,0.950354609929078,0.9736603088101726,0.961866307761328,0.7123203504835177
7,0.9652333028362305,0.9608378870673953,0.9630305796439982,0.6968368539814588
8,0.7688953488372093,0.9981132075471698,0.8686371100164204,0.6784920876445526
9,0.9945235487404163,0.9517819706498952,0.9726834493840386,0.8370020964360587
10,0.9442508710801394,0.95929203539823,0.95171202809482,0.8575086131189624
11,0.99581589958159,0.9714285714285714,0.9834710743801653,0.9232142857142858
12,0.9283018867924528,0.9498069498069498,0.9389312977099237,0.9096113786835436
13,0.9835164835164835,0.9572192513368984,0.9701897018970189,0.9088421838079841
14,0.9869281045751634,0.9617834394904459,0.9741935483870968,0.9604835564799168
15,0.9845360824742269,0.9502487562189055,0.9670886075949368,0.9516868781094527
16,0.9844632768361582,0.9789325842696629,0.9816901408450704,0.9339107365792758
17,0.9758308157099698,0.9584569732937686,0.9670658682634731,0.9023054097238074
18,0.9665653495440729,0.956390977443609,0.9614512471655329,0.8406954887218046
19,0.8926974664679582,0.9359375,0.9138062547673532,0.8295072115384615
20,0.9493670886075949,0.9704251386321626,0.9597806215722121,0.8452125693160812
21,0.9761755485893417,0.9700934579439252,0.973125,0.8647935644150007
22,0.975609756097561,0.9523809523809523,0.963855421686747,0.7214734950584007
23,0.9002904162633107,0.9403437815975733,0.9198813056379822,0.5942594820396625
24,0.9745222929936306,0.9642857142857143,0.9693769799366421,0.9312953995157385
25,0.931924882629108,0.9429928741092637,0.9374262101534829,0.8204547703879652
26,0.9717514124293786,0.945054945054945,0.958217270194986,0.8683608058608059
27,0.9895833333333334,0.9547738693467337,0.9718670076726342,0.9656222287910139
28,0.9650537634408602,0.8497041420118343,0.9037130270610447,0.885338393194367
29,0.9800995024875622,0.8934240362811792,0.9347568208778173,0.8985192470562522
30,0.9352640545144804,0.9089403973509934,0.9219143576826196,0.7752249156566288
31,0.9455709711846318,0.9031600407747197,0.9238790406673618,0.8770186168785878
32,0.9759036144578314,0.9688995215311005,0.9723889555822329,0.7670584564177241
33,0.9891540130151844,0.9539748953974896,0.9712460063897763,0.9094198801311772
34,0.9822097378277154,0.905090595340811,0.9420745397395599,0.9003474954726034
35,0.9969154842689698,0.964776119402985,0.9805825242718447,0.9066304839439168
36,0.9591397849462365,0.9737991266375546,0.9664138678223185,0.7493995633187773
37,0.9774557165861514,0.9410852713178295,0.9589257503949447,0.9074795725958517
38,0.9815837937384899,0.9673321234119783,0.9744058500914077,0.8602092715825324
39,0.9552631578947368,0.9909008189262967,0.9727556945064761,0.7677718380345768
40,0.9791044776119403,0.968503937007874,0.9737753587333003,0.8937347271246266
41,0.9650313152400835,0.9655352480417755,0.9652832158705299,0.8426002600041513
42,0.9820819112627986,0.8551263001485884,0.9142176330420969,0.4900631500742942
43,0.9873417721518988,0.9457562220804084,0.9661016949152542,0.5770447777068709
44,0.9958088851634534,0.9769736842105263,0.9863013698630136,0.48848684210526316
45,0.9970760233918129,0.9605633802816902,0.9784791965566715,0.4802816901408451
46,0.9746376811594203,0.9793689320388349,0.9769975786924939,0.5124117387466902
47,0.9253731343283582,0.9977011494252873,0.9601769911504425,0.5127394636015326
48,0.8927038626609443,0.9904761904761905,0.9390519187358917,0.5488095238095239
