,6,9,11,16,37,41
6,,2.6737125153886154e-06,0.00013128014688845724,0.0002247400116175413,0.05224609375,0.109375
9,,,0.7743196677474771,0.6212516147643328,0.67724609375,0.3125
11,,,,0.27186842705123127,0.4697265625,0.1484375
16,,,,,0.791015625,0.3828125
37,,,,,,0.25
41,,,,,,
